Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/Latin-1.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit02,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/Latin-2.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit03,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/Latin-3.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit04,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/Latin-4.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit05,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/Latin-5.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit06,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/Latin-6.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit07,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/Latin-8.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit08,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/Latin-9.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit09,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/Latin-10.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit10,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/Latin-11.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit11,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/Latin-12.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit12,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/Latin-13.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit13,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/Latin-14.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit14,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/Latin-15.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit15,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/Latin-16.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit16,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/Latin-17.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit17,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/Latin-18.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit18,https://raw.githubusercontent.com/daviddorio/ATVTEST/main/Latin-19.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes